name,calories,protein,carbs,fat,sugar,benefits,cons,advice
limburger cheese,98,6.0,0.1,8.2,0.1,Contains nutrition,Depends on quantity,Maintain balanced diet
muenster cheese,486,30.9,1.5,39.7,1.5,Contains nutrition,Depends on quantity,Maintain balanced diet
queso fresco cheese,365,22.1,3.6,29.1,2.8,Contains nutrition,Depends on quantity,Maintain balanced diet
brie cheese,100,6.2,0.1,8.3,0.1,Contains nutrition,Depends on quantity,Maintain balanced diet
pimento cheese,525,31.0,2.4,43.7,0.9,Contains nutrition,Depends on quantity,Maintain balanced diet
mexican cheese,316,27.7,3.8,21.7,0.6,Contains nutrition,Depends on quantity,Maintain balanced diet
feta cheese,80,4.3,1.2,6.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
mozzarella cheese fat free,159,35.8,4.0,0.0,1.7,Contains nutrition,Depends on quantity,Maintain balanced diet
provolone cheese,463,33.8,2.8,35.1,0.7,Contains nutrition,Depends on quantity,Maintain balanced diet
anejo cheese,492,28.3,6.1,39.6,6.1,Contains nutrition,Depends on quantity,Maintain balanced diet
honey,64,0.08,17.3,0.0,17.2,Contains nutrition,Depends on quantity,Maintain balanced diet
apple butter,35,0.045,8.5,0.063,7.1,Contains nutrition,Depends on quantity,Maintain balanced diet
fruit jam,56,0.0,13.8,0.095,9.7,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate hazelnut spread,100,1.0,11.5,5.5,10.0,Contains nutrition,Depends on quantity,Maintain balanced diet
peanut butter,88,3.3,3.6,7.4,1.0,Contains nutrition,Depends on quantity,Maintain balanced diet
peanut spread,101,3.8,2.2,8.5,0.5,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken spread,88,10.1,2.3,9.8,0.3,Contains nutrition,Depends on quantity,Maintain balanced diet
cheese spread,708,17.0,8.4,68.6,8.4,Contains nutrition,Depends on quantity,Maintain balanced diet
tahini,86,2.7,3.9,7.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
orange marmalade,49,0.014,13.3,0.0,12.0,Contains nutrition,Depends on quantity,Maintain balanced diet
american cheese spread,46,2.6,1.4,3.4,1.2,Contains nutrition,Depends on quantity,Maintain balanced diet
apricot jam,48,0.1,12.9,0.01,8.7,Contains nutrition,Depends on quantity,Maintain balanced diet
chunky peanut butter,94,3.8,3.5,8.0,1.3,Contains nutrition,Depends on quantity,Maintain balanced diet
ham and cheese spread,37,2.4,0.3,2.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken and rice casserole homade,27,2.0,2.4,1.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
picnic loaf,65,4.2,1.3,4.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
corn tamale,309,5.8,44.3,12.0,12.3,Contains nutrition,Depends on quantity,Maintain balanced diet
baked potato with cheese sauce bacon,451,18.4,44.4,25.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chinese egg roll,223,7.4,24.3,10.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
butter croissant,231,4.7,26.1,12.0,6.4,Contains nutrition,Depends on quantity,Maintain balanced diet
enchilada with cheese beef,323,11.9,30.5,17.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
corned beef hash with potatoes,387,20.6,21.9,24.2,0.8,Contains nutrition,Depends on quantity,Maintain balanced diet
biscuit with egg cheese bacon,436,17.4,35.4,25.3,2.5,Contains nutrition,Depends on quantity,Maintain balanced diet
bagel with ham egg cheese,483,26.7,52.4,18.5,7.0,Contains nutrition,Depends on quantity,Maintain balanced diet
quesadilla with chicken,529,27.1,43.3,27.5,3.4,Contains nutrition,Depends on quantity,Maintain balanced diet
corn rice,110,1.8,25.2,0.3,3.0,Contains nutrition,Depends on quantity,Maintain balanced diet
kung pao chicken,779,59.0,41.5,42.2,18.3,Contains nutrition,Depends on quantity,Maintain balanced diet
beef empanada,298,10.1,27.8,16.3,1.6,Contains nutrition,Depends on quantity,Maintain balanced diet
frijoles with cheese,225,11.4,28.7,7.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
burrito with beef,285,9.1,43.9,8.1,4.1,Contains nutrition,Depends on quantity,Maintain balanced diet
crispy chicken sandwich,350,14.8,33.2,17.6,3.9,Contains nutrition,Depends on quantity,Maintain balanced diet
enchilada with cheese,374,15.4,21.2,25.3,3.6,Contains nutrition,Depends on quantity,Maintain balanced diet
pork egg roll,189,8.4,25.1,6.1,4.5,Contains nutrition,Depends on quantity,Maintain balanced diet
corn on the cob with butter,155,4.5,31.9,3.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pancakes with butter syrup,260,4.1,45.4,7.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
burrito with beans,224,7.0,35.7,6.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
scrambled eggs,100,6.5,1.0,7.6,0.8,Contains nutrition,Depends on quantity,Maintain balanced diet
baked potato with sour cream,393,6.7,50.0,22.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey and gravy,161,14.1,11.1,6.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken egg roll,158,8.4,22.8,3.6,4.5,Contains nutrition,Depends on quantity,Maintain balanced diet
vegetable egg roll,153,5.2,25.0,3.6,5.3,Contains nutrition,Depends on quantity,Maintain balanced diet
ham cheese roll,67,3.8,1.1,5.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
biscuit with ham,386,13.4,43.8,18.4,2.2,Contains nutrition,Depends on quantity,Maintain balanced diet
lemon chicken,1440,68.6,122.0,74.9,55.2,Contains nutrition,Depends on quantity,Maintain balanced diet
hummus,435,12.0,49.5,21.1,0.7,Contains nutrition,Depends on quantity,Maintain balanced diet
croissant with egg cheese,368,12.8,24.3,24.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
enchirito with cheese beef beans,344,17.9,33.8,16.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
sweet sour pork,38,1.2,3.3,2.2,1.4,Contains nutrition,Depends on quantity,Maintain balanced diet
crab cake,160,11.3,5.1,10.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
egg dinner roll,107,3.3,18.2,2.2,1.5,Contains nutrition,Depends on quantity,Maintain balanced diet
english muffin with egg cheese sausage,472,22.1,28.8,29.9,2.5,Contains nutrition,Depends on quantity,Maintain balanced diet
buttermilk pancakes,86,2.6,10.9,3.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
omelet,94,6.4,0.4,7.1,0.2,Contains nutrition,Depends on quantity,Maintain balanced diet
taco with chicken cheese lettuce,185,13.0,19.3,6.2,1.3,Contains nutrition,Depends on quantity,Maintain balanced diet
spinach souffle,230,10.7,8.0,17.6,2.5,Contains nutrition,Depends on quantity,Maintain balanced diet
english muffin with cheese sausage,365,14.3,27.3,22.3,2.1,Contains nutrition,Depends on quantity,Maintain balanced diet
potato gratin,328,12.4,27.6,18.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
biscuit with egg,436,17.4,35.4,25.3,2.5,Contains nutrition,Depends on quantity,Maintain balanced diet
french fries deep fried,222,2.4,29.4,10.5,0.2,Contains nutrition,Depends on quantity,Maintain balanced diet
sweet sour chicken,46,1.8,4.4,2.3,2.1,Contains nutrition,Depends on quantity,Maintain balanced diet
burrito with beans beef,460,27.8,47.0,18.0,5.3,Contains nutrition,Depends on quantity,Maintain balanced diet
nachos with cinnamon sugar,592,7.2,63.4,36.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
arroz con grandules,209,4.0,35.4,5.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chili con carne,271,14.7,33.1,8.8,4.7,Contains nutrition,Depends on quantity,Maintain balanced diet
arroz con abichuelas,223,6.2,37.3,5.4,0.2,Contains nutrition,Depends on quantity,Maintain balanced diet
biscuit with sausage,412,10.7,33.3,27.1,1.8,Contains nutrition,Depends on quantity,Maintain balanced diet
vegetarian stew,304,42.0,17.3,7.4,3.1,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken sandwich with cheese,632,29.4,41.6,38.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
biscuit with egg steak,410,17.9,21.3,28.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
taco salad,212,10.0,17.9,11.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
succotash,213,9.7,46.8,1.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
nachos with cheese jalapeno peppers,608,16.8,60.1,34.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
biscuit with egg ham,442,20.4,31.4,27.0,4.2,Contains nutrition,Depends on quantity,Maintain balanced diet
ladyfingers,103,3.0,16.9,2.6,7.2,Contains nutrition,Depends on quantity,Maintain balanced diet
mozzarella steak fried,102,4.6,7.7,5.9,0.7,Contains nutrition,Depends on quantity,Maintain balanced diet
tamale navajo,285,11.7,33.7,11.4,1.8,Contains nutrition,Depends on quantity,Maintain balanced diet
blueberry pancakes,84,2.3,11.0,3.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chimichanga with beef cheese,443,20.1,39.3,23.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
egg cheese sandwich,340,15.6,25.9,19.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
biscuit with egg bacon,458,17.0,28.6,31.1,3.3,Contains nutrition,Depends on quantity,Maintain balanced diet
pupusas con queso,300,13.7,26.2,15.5,1.4,Contains nutrition,Depends on quantity,Maintain balanced diet
apple croissant,145,4.2,21.1,5.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
refried red beans,336,11.7,36.0,16.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
tostada with guacamole,180,6.2,16.0,11.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken sandwich,468,30.4,39.1,20.9,6.8,Contains nutrition,Depends on quantity,Maintain balanced diet
fried rice,228,6.5,43.4,3.2,0.6,Contains nutrition,Depends on quantity,Maintain balanced diet
pupusas del cerdo,283,14.0,28.1,12.7,1.8,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey pot pie,699,25.8,70.3,34.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
cheese croissant,331,7.4,37.6,16.7,9.1,Contains nutrition,Depends on quantity,Maintain balanced diet
chimichanga with beef,425,19.6,42.8,19.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
french toast with butter,178,5.2,18.0,9.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ham egg cheese sandwich,347,19.2,30.9,16.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
english muffin with butter,189,4.9,30.4,5.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
savoury noodle one pan dinner tandaco,172,0.0,5.5,1.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ham cheese sandwich,352,20.7,33.3,15.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
sweet gefilte fish,35,3.8,3.1,0.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
poached egg,72,6.3,0.4,4.7,0.2,Contains nutrition,Depends on quantity,Maintain balanced diet
tostada with beef cheese,315,19.0,22.8,16.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
tostada with beans cheese,223,9.6,26.5,9.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pork tamale,247,10.4,22.4,12.8,0.7,Contains nutrition,Depends on quantity,Maintain balanced diet
nachos with cheese,274,3.5,27.9,17.2,1.7,Contains nutrition,Depends on quantity,Maintain balanced diet
pulled pork in barbecue sauce,418,32.8,46.7,11.0,37.8,Contains nutrition,Depends on quantity,Maintain balanced diet
baked potato with cheese sauce,474,14.6,46.5,28.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
baked beans,310,11.1,43.3,10.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
arroz con frijoles,220,6.8,35.6,5.6,1.3,Contains nutrition,Depends on quantity,Maintain balanced diet
taco with beef cheese lettuce,156,6.1,13.7,8.8,0.6,Contains nutrition,Depends on quantity,Maintain balanced diet
burrito with beans cheese beef,165,7.3,19.8,6.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
egg mix,30,2.4,0.098,2.2,0.091,Contains nutrition,Depends on quantity,Maintain balanced diet
falafel,57,2.3,5.4,3.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
taco salad with chili con carne,193,11.6,17.7,8.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
wonton wrappers,93,3.1,18.5,0.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
hushpuppies,512,11.7,69.9,20.5,3.1,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken pot pie,598,14.6,57.3,34.6,7.2,Contains nutrition,Depends on quantity,Maintain balanced diet
general tsos chicken,1578,69.0,128.3,87.5,62.1,Contains nutrition,Depends on quantity,Maintain balanced diet
burrito with beans cheese,379,13.6,57.8,11.2,3.2,Contains nutrition,Depends on quantity,Maintain balanced diet
vegetarian fillets,247,19.6,7.7,15.3,0.7,Contains nutrition,Depends on quantity,Maintain balanced diet
biscuit with egg sausage,505,18.0,34.1,33.6,1.5,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken chow mein,513,40.8,50.1,16.9,10.5,Contains nutrition,Depends on quantity,Maintain balanced diet
fruit burrito,231,2.5,35.0,9.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
arroz con leche,369,8.1,63.0,9.3,38.6,Contains nutrition,Depends on quantity,Maintain balanced diet
caramel custard flan,444,13.9,69.7,12.3,70.8,Contains nutrition,Depends on quantity,Maintain balanced diet
gelatin dessert,167,3.3,38.3,0.0,36.4,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate milk dessert,229,5.9,51.6,1.4,51.6,Contains nutrition,Depends on quantity,Maintain balanced diet
chocolate mousse,338,6.2,24.1,24.0,22.2,Contains nutrition,Depends on quantity,Maintain balanced diet
dulce de leche,60,1.3,10.5,1.4,9.5,Contains nutrition,Depends on quantity,Maintain balanced diet
apple crisp,454,4.9,87.0,9.7,55.5,Contains nutrition,Depends on quantity,Maintain balanced diet
spinach spaghetti cooked,182,6.4,36.6,0.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
corn pasta cooked,176,3.7,39.1,1.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
spaghetti with meat sauce,255,14.3,43.1,2.9,7.4,Contains nutrition,Depends on quantity,Maintain balanced diet
pasta with meatballs in tomato sauce,273,10.6,28.3,13.0,7.2,Contains nutrition,Depends on quantity,Maintain balanced diet
cheese tortellini,332,14.6,50.8,7.8,1.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pasta with sliced franks in tomato sauce,227,11.0,32.0,6.0,8.0,Contains nutrition,Depends on quantity,Maintain balanced diet
lasagna,166,9.0,18.9,6.1,3.8,Contains nutrition,Depends on quantity,Maintain balanced diet
macaroni cheese,310,12.6,43.7,9.4,3.0,Contains nutrition,Depends on quantity,Maintain balanced diet
vegetable lasagna,316,15.6,32.2,13.7,5.8,Contains nutrition,Depends on quantity,Maintain balanced diet
spinach egg noodles cooked,211,8.1,38.8,2.5,1.1,Contains nutrition,Depends on quantity,Maintain balanced diet
cheese lasagna,316,15.9,33.6,13.0,10.3,Contains nutrition,Depends on quantity,Maintain balanced diet
pasta with tomato sauce,176,5.6,35.1,1.8,10.1,Contains nutrition,Depends on quantity,Maintain balanced diet
spinach pasta cooked,37,1.4,7.1,0.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
vegetable chicken soup,166,12.3,21.1,4.8,3.4,Contains nutrition,Depends on quantity,Maintain balanced diet
bean ham soup,198,10.3,33.5,2.5,7.8,Contains nutrition,Depends on quantity,Maintain balanced diet
cream of chicken soup,227,6.0,18.0,14.5,1.4,Contains nutrition,Depends on quantity,Maintain balanced diet
tomato soup canned,139,6.3,22.6,3.3,16.5,Contains nutrition,Depends on quantity,Maintain balanced diet
egg drop soup,65,2.8,10.3,1.5,0.2,Contains nutrition,Depends on quantity,Maintain balanced diet
scotch broth,197,12.1,23.0,6.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
cream of onion soup,268,6.7,31.7,12.8,11.1,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken broth dry,10,0.7,1.1,0.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
vegetable soup with beef broth,162,6.0,26.3,3.8,4.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chili with beans canned,287,14.6,30.5,14.1,3.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef noodle soup,168,9.6,17.9,6.2,5.2,Contains nutrition,Depends on quantity,Maintain balanced diet
consomme dry,17,2.2,1.9,0.2,1.1,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken mushroom soup,126,2.0,15.1,6.1,1.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef vegetable soup,120,8.0,15.4,2.9,3.1,Contains nutrition,Depends on quantity,Maintain balanced diet
black bean soup,234,12.4,39.6,3.4,6.4,Contains nutrition,Depends on quantity,Maintain balanced diet
split pea soup with ham bacon,189,11.6,28.6,3.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
cream of mushroom soup,199,3.4,17.1,13.4,1.0,Contains nutrition,Depends on quantity,Maintain balanced diet
green pea soup,320,16.7,51.7,5.7,16.7,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken broth soup,78,11.1,1.9,2.6,0.9,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken mushroom chowder soup,431,16.2,38.3,23.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken dumplings soup,235,13.6,14.7,13.4,1.4,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken vegetable soup,148,7.1,17.0,5.6,3.0,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey vegetable soup,72,3.1,8.6,3.0,2.6,Contains nutrition,Depends on quantity,Maintain balanced diet
wonton soup,71,4.6,11.7,0.6,0.8,Contains nutrition,Depends on quantity,Maintain balanced diet
beef stock,31,4.7,2.9,0.2,1.3,Contains nutrition,Depends on quantity,Maintain balanced diet
mushroom barley soup,186,4.6,29.3,5.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
gazpacho soup,70,10.7,6.6,0.4,2.2,Contains nutrition,Depends on quantity,Maintain balanced diet
beef mushroom soup,186,14.0,15.9,7.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken rice soup,127,12.3,13.0,3.2,1.4,Contains nutrition,Depends on quantity,Maintain balanced diet
pepperpot soup,100,6.2,9.1,4.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
vegetable soup,149,4.3,24.6,4.0,7.9,Contains nutrition,Depends on quantity,Maintain balanced diet
chili beef soup,308,13.4,49.6,6.7,13.4,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken soup,174,12.4,16.9,6.5,2.1,Contains nutrition,Depends on quantity,Maintain balanced diet
bean with frankfurters soup,188,10.0,22.0,7.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
pea soup,161,8.3,25.6,2.8,8.3,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey soup,135,10.2,14.1,4.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
stockpot soup,201,9.8,23.1,7.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
hot sour soup,91,6.0,10.1,2.8,1.0,Contains nutrition,Depends on quantity,Maintain balanced diet
cheese soup,203,2.0,28.0,9.7,9.3,Contains nutrition,Depends on quantity,Maintain balanced diet
cream of potato soup,186,3.8,32.2,4.7,3.6,Contains nutrition,Depends on quantity,Maintain balanced diet
bean with bacon soup,106,5.5,16.4,2.1,0.6,Contains nutrition,Depends on quantity,Maintain balanced diet
fish stock,40,5.3,0.0,1.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
split pea soup with ham,381,20.7,56.2,8.9,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef broth soup,17,2.7,0.01,0.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
lentil soup with ham,139,9.3,20.2,2.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
tomato soup,98,2.2,22.5,0.7,12.2,Contains nutrition,Depends on quantity,Maintain balanced diet
fish broth,39,4.9,1.0,1.5,0.2,Contains nutrition,Depends on quantity,Maintain balanced diet
chili without beans canned,283,18.1,14.6,17.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
minestrone soup,167,8.6,22.6,5.0,3.7,Contains nutrition,Depends on quantity,Maintain balanced diet
clam chowder soup,154,4.4,24.5,4.4,6.8,Contains nutrition,Depends on quantity,Maintain balanced diet
tomato vegetable soup,54,1.9,9.9,0.8,2.4,Contains nutrition,Depends on quantity,Maintain balanced diet
cream of rice coup,127,2.2,28.1,0.2,0.022,Contains nutrition,Depends on quantity,Maintain balanced diet
cream of celery soup,181,3.3,17.7,11.2,3.4,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken gravy,188,4.6,12.9,13.6,1.9,Contains nutrition,Depends on quantity,Maintain balanced diet
tomato rice soup,240,4.2,44.1,5.5,15.2,Contains nutrition,Depends on quantity,Maintain balanced diet
vegetable beef soup,128,18.1,9.6,2.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
tomato beef noodle soup,281,8.9,42.3,8.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
oyster stew soup,118,4.2,8.2,7.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
ramen noodle soup dry,371,8.9,53.9,13.3,1.3,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken noodle soup,145,7.2,18.4,4.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken bouillon dry,11,0.7,0.7,0.6,0.7,Contains nutrition,Depends on quantity,Maintain balanced diet
cream of asparagus soup,174,4.6,21.5,8.2,1.8,Contains nutrition,Depends on quantity,Maintain balanced diet
turkey noodle soup,139,7.8,17.3,4.0,1.0,Contains nutrition,Depends on quantity,Maintain balanced diet
cream of shrimp soup,181,5.6,16.5,10.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
bean with pork soup,335,15.3,44.1,11.5,7.8,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken broth,12,1.0,1.0,0.5,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
beef broth powder,8,0.6,0.6,0.3,0.6,Contains nutrition,Depends on quantity,Maintain balanced diet
split pea soup,180,9.7,29.9,2.3,12.8,Contains nutrition,Depends on quantity,Maintain balanced diet
escarole soup,61,3.4,4.0,4.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken stock,86,6.0,8.5,2.9,3.8,Contains nutrition,Depends on quantity,Maintain balanced diet
tomato bisque soup,248,4.5,47.7,5.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
shark fin soup,99,6.9,8.2,4.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
onion soup,113,7.5,16.4,3.5,6.7,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken gumbo soup,113,5.3,16.8,2.9,4.9,Contains nutrition,Depends on quantity,Maintain balanced diet
crab soup,95,10.4,12.5,0.8,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
tripe soup,148,17.2,8.1,5.2,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
little india little lunch,164,0.0,2.0,10.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
original chicken sandwich chick fil a,125,0.0,0.0,5.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
sausage mcmuffin mcdonalds,383,14.6,28.2,24.2,2.2,Contains nutrition,Depends on quantity,Maintain balanced diet
sausage mcgriddles mcdonalds,421,11.4,42.2,24.0,15.2,Contains nutrition,Depends on quantity,Maintain balanced diet
crispy chicken drumstick kentucky fried chicken,70,10.6,0.0,3.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chicken crispy drumsticks kentucky fried chicken,156,11.8,4.5,10.1,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
biscuit kentucky fried chicken,185,3.8,22.1,9.1,1.7,Contains nutrition,Depends on quantity,Maintain balanced diet
english muffin mcdonalds,97,5.7,2.9,2.3,1.5,Contains nutrition,Depends on quantity,Maintain balanced diet
french fries mcdonalds,378,4.0,49.8,18.1,0.2,Contains nutrition,Depends on quantity,Maintain balanced diet
